"Name","Runtime","Notes","BACKBONE","BACTHSIZE","CENTER","CoarseDropout","DATA_PATH","DESCRIPTION","EPOCHS","FOLD","HOP_LENGTH","HorizontalFlip","IMAGE_SIZE","LABEL_SMOOTHING","LOAD_SPEC_DATA","LOSS","MAX_FREQ","MEL_SCALE","MIN_FREQ","MixUp","NORM","NORMALIZED","N_FFT","N_MEL","ONESIDED","PAD_MODE","SAMPLE_RATE","SECOND_LABEL","SEED","VERSION","WIN_LAP","WIN_SIZE","XYMasking","Family Loss","Family Training Loss","Family Valid Loss","Learning Rate","Order Loss","Order Training Loss","Order Valid Loss","Species Loss","Species Training Loss","Species Valid Loss","Training Loss","Valid Loss","Valid ROC_AUC"
"VERSION: v2.3","8605","LB: 0.61","","16","","","inputs","gooogle with stride 1s","10","5","320","","","0","[""data/spec_google1s_5sec_256_256_24.npy""]","CrossEntropyLoss","15000","","40","","","","1024","128","","","32000","1","24","v2.3","100","412","true","","","","6.857231870359143e-10","","","","","","","0.2674327239394188","2.796140813827515","0.932584083505783"
"VERSION: v2.2","8967","-","","16","","","inputs","first 5s","10","5","320","","","0","[""data/spec_first_5sec_256_256_24.npy""]","CrossEntropyLoss","15000","","40","","","","1024","128","","","32000","1","24","v2.2","100","412","true","","","","6.857892686526652e-10","","","","","","","0.43592465482652193","2.5238996505737306","0.9340298218523586"
"VERSION: v2.1","9289","LB: 0.62","","16","","","inputs","5s birdcall from google","10","5","320","","","0","[""data/spec_google_5sec_256_256_24.npy""]","CrossEntropyLoss","15000","","40","","","","1024","128","","","32000","1","24","v2.1","100","412","true","","","","6.857231870359143e-10","","","","","","","0.2523455508053303","2.691697120666504","0.9329825410129863"
"VERSION: v2.0","9067","LB: 0.61","","16","","","inputs","5s birdcall from google","10","5","320","","","0","[""data/spec_google_5sec_256_256_24.npy""]","BCEWithLogitsLoss","15000","","40","","","","1024","128","","","32000","1","24","v2.0","100","412","true","","","","6.857231870359143e-10","","","","","","","13.218893432617188","17548.385156250002","0.9508634032071698"
"VERSION: v1.9","10670","LB: 0.60","","16","","","inputs","5s birdcall from google","10","5","320","","","0","[""data/spec_google_5sec_256_256_24.npy""]","","15000","","40","","","","1024","128","","","32000","","24","v1.9","100","412","true","","","","6.857231870359143e-10","","","","","","","0.04653123058378697","2.3295440673828125","0.9365541225681454"
"VERSION: v1.8","10501","LB: 0.60","","16","","","inputs","","10","5","320","","","0","[""data/spec_first_5sec_256_256_24.npy""]","","15000","","40","","","","1024","128","","","32000","","24","v1.8","100","412","true","","","","6.857892686526652e-10","","","","","","","0.007666489412076771","2.0937339305877685","0.9403854017458465"
"VERSION: v1.7","11513","LB: 0.59","","16","","","inputs","First 5s with 21-22-23-24","10","5","320","","","0","[""data/spec_first_5sec_256_256_24.npy"",""data/spec_first_5sec_256_256_212223.npy""]","","15000","","40","","","","1024","128","","","32000","","24","v1.7","100","412","true","","","","6.848466414454706e-10","","","","","","","0.021431432198733093","1.9934968948364258","0.9407855882326359"
"VERSION: v1.6","10526","LB: 0.59","","16","","","inputs","First 5s with 21-22-23-24 data","10","5","320","","","0","[""data/spec_first_5sec_256_256_24.npy"",""data/spec_first_5sec_256_256_212223.npy""]","","15000","","40","","","","1024","128","","","32000","","24","v1.6","100","412","","","","","6.848466414454706e-10","","","","","","","1.039404199575074","3.0046206951141357","0.8441202466856038"
"VERSION: v1.5","10200","LB: 0.60","","16","","","inputs","3 Level Hierarchical with weighted loss","10","5","320","","","0","data/spec_center_5sec_256_256.npy","","15000","","40","","","","1024","128","","","32000","","24","v1.5","100","412","","","3.146087694168091","3.4781710624694826","6.857231870359143e-10","","2.1021604537963867","2.275218200683594","","0.0036099494551308457","3.508501982688904","1.995628571510315","3.2618063926696776","0.9199729688849171"
"VERSION: v1.4","10242","LB: 0.60","","16","","","inputs","3 Level Hierarchical","10","5","320","","","0","data/spec_center_5sec_256_256.npy","","15000","","40","","","","1024","128","","","32000","","24","v1.4","100","412","","","3.2056995391845704","3.4361185073852543","6.857231870359143e-10","","2.1052292346954347","2.252649688720703","","0.1461552448105067","3.739886999130249","5.457084083557129","3.2693592548370365","0.9179413998677817"
"VERSION: v1.3","76558","LB: 0.63","","16","","","inputs","Get all 5s data","10","5","","","","0","true","","15000","","40","","","","1095","","","","32000","","24","v1.3","100","412","","","","","6.800920590596207e-10","","","","","","","0.00012398533908708487","0.4791645169258118","0.9865734906733628"
"VERSION: v1.2","9304","LB: 0.59","","16","","","inputs","BCEWithLogitLoss","10","5","","","","0","true","","15000","","40","","","","1095","","","","32000","","24","v1.2","100","412","","","","","6.857892686526652e-10","","","","","","","0.007349578198045492","0.016046982258558273","0.944417179993076"
"VERSION: v1.1","14472","LB: 0.61","","16","","","inputs","Add sigmoid activation func to final layer","15","5","","","","0","true","","15000","","40","","","","1095","","","","32000","","24","v1.1","100","412","","","","","6.825730083099957e-10","","","","","","","4.319122886657715","5.197678947448731","0.8149972683902488"
"VERSION: v1.0","13257","LB: 0.60","","16","","","inputs","","15","5","","","","0","true","","15000","","40","","","","1095","","","","32000","","24","v1.0","100","412","","","","","6.825730083099957e-10","","","","","","","0.0005431412042526063","4.70104866027832","0.9310159031986645"
"VERSION: v0.9","9460","LB: 0.63","","16","","","inputs","Using in_chans parameter in timm's create model func (optimize memory)","10","5","","","","0","true","","15000","","40","","","","1095","","","","32000","","24","v0.9","100","412","","","","","6.857892686526652e-10","","","","","","","0.005940570964594372","4.688493442535401","0.9386857225000899"
"VERSION: v0.8","17308","LB: 0.60","","16","","","inputs","","10","5","","","","0","false","","15000","","40","","","","1095","","","","32000","","24","v0.8","100","412","","","","","6.857892686526652e-10","","","","","","","0.007921954989433289","4.686781692504883","0.9428310448376818"
"VERSION: v0.7","20499","LB: 0.58","","16","","","inputs","","10","5","","","","0.1","true","","15000","","40","","","","1095","","","","32000","","24","v0.7","100","412","","","","","6.857231870359142e-10","","","","","","","0.9733248829841615","4.876149940490723","0.911574194224376"
"VERSION: v0.6","20177","LB: 0.60","","16","","","inputs","","10","5","","","","","true","","15000","","40","","","","1095","","","","32000","","24","v0.6","100","412","","","","","6.857231870359141e-10","","","","","","","0.012647189223207534","4.685945892333985","0.9418308388602383"
"VERSION: v0.5","18374","LB: 0.63","","16","","","inputs","","10","5","","","","","true","","15000","","40","","","","1095","","","","32000","","24","v0.5","100","412","","","","","6.857231870359141e-10","","","","","","","0.010820544051239268","4.684386825561524","0.9394965419189409"
"VERSION: v0.4","5218","-","","16","","","inputs","","10","2","","","","","true","","15000","","40","","","","1095","","","","32000","","24","v0.4","100","412","","","","","6.946274282152581e-10","","","","","","","0.00105018837894022","4.214832067489624","0.9999991938505952"
